iteration,jensen_shannon_divergence
0,0.2945810906063635
1,0.44541359077732123
2,0.3285121045356692
3,0.3195106754611444
4,0.33323055372934
5,0.28775254044476445
6,0.3479964971634323
7,0.26564648559501775
8,0.428685258049903
9,0.3284320596846642
10,0.34046521898492604
11,0.3032459387788271
12,0.3664065861071719
13,0.34268496373999635
14,0.3384968250444889
15,0.32541877140557796
16,0.32048910290531696
17,0.38506974678698497
18,0.33144337406215924
19,0.3374294375601572
20,0.28717070039038417
21,0.30497105671875435
22,0.32151560719683553
23,0.2618897263077906
24,0.31811554860803276
25,0.3245224319246472
26,0.4043969924668415
27,0.380906146143247
28,0.4131731362599918
29,0.30674692198672926
30,0.30762879173566465
31,0.2940405307072669
32,0.2995264342895285
33,0.32088279155421495
34,0.3365195100318789
35,0.392893294534109
36,0.3871315938449006
37,0.2411569073002596
38,0.4287986657081611
39,0.3040084748826802
40,0.3363830933798095
41,0.357113858750318
42,0.37175454110068423
43,0.4032372883219228
44,0.389186409748876
45,0.33654347557366737
46,0.36345795492291555
47,0.3185248037844498
48,0.33866059701096146
49,0.3596359694199578
50,0.4115993139278729
51,0.39699553645920055
52,0.2924167577625723
53,0.3417321946221618
54,0.27489762164565534
55,0.32277200185783295
56,0.34337401638596465
57,0.3322743327953564
58,0.3284899150564516
59,0.33966224899593256
60,0.29185429163064774
61,0.2625422603816196
62,0.3191702074575679
63,0.3094123291419782
64,0.33075281853739236
65,0.3394205225497959
66,0.33108370548669397
67,0.2932977205912755
68,0.31079431482110903
69,0.3429760142092179
70,0.30558337889881115
71,0.32546647054650996
72,0.342572888096418
73,0.3873913629537048
74,0.33956898786159556
75,0.36738460108537274
76,0.2950909035011996
77,0.31538864692285695
78,0.34213592251454134
79,0.38492564463518303
80,0.4019484050479085
81,0.3787260345938361
82,0.3437577233291166
83,0.29278801294542345
84,0.3458838786705514
85,0.41997603939264333
86,0.3278730563631422
87,0.35719782243957043
88,0.3475836646792833
89,0.29334683727145056
90,0.31284877187445254
91,0.2866059389726696
92,0.3234709368335746
93,0.4138932079509742
94,0.3347167191018195
95,0.3165512793794779
96,0.2704466364889514
97,0.3571924241039964
98,0.2971774929382237
99,0.3921203201483655
100,0.28581067111226244
101,0.2918405532532973
102,0.34110445423620445
103,0.3817299396020591
104,0.3363143067393974
105,0.3142046433964017
106,0.3370612182801223
107,0.3950738832347413
108,0.3303466156328603
109,0.3651022800769233
110,0.2692291882880531
111,0.32022299070049576
112,0.3318880515434971
113,0.37324522491942236
114,0.32532102526051826
115,0.36199550622624044
116,0.39417655377207217
117,0.31335425486094715
118,0.36511381192177783
119,0.32658016280249813
120,0.32351358441153977
121,0.2711288924269169
122,0.29294433806873105
123,0.288318214530906
124,0.3418538451962041
125,0.306488115654586
126,0.29046856266601945
127,0.36640063417560925
128,0.32575096592266667
129,0.3036749715005587
130,0.3770657584589447
131,0.3834467930505067
132,0.38659820045083554
133,0.3105612108578141
134,0.3723821616547899
135,0.3178771091889196
136,0.25060116996119675
137,0.34080159842046304
138,0.3461743742626243
139,0.3200633343722552
140,0.3653144922004344
141,0.39596868324598844
142,0.3501283558731128
143,0.28554372245095583
144,0.39283208023659916
145,0.30410664104891005
146,0.29943610556768163
147,0.29566196458818406
148,0.31793647500888067
149,0.34227335289880534
150,0.292449556299204
151,0.2888485167119943
152,0.4111947586564339
153,0.3160927916941316
154,0.26424781827117055
155,0.32380102392862514
156,0.35389613837512085
157,0.28986511132147147
158,0.3086389333258853
159,0.3429572364213338
160,0.3549327729726203
161,0.3176136156484511
162,0.311724437051677
163,0.27957530434151134
164,0.3403827092719119
165,0.3286345209956559
166,0.34644435119828626
167,0.3468544178001773
168,0.3711219949691397
169,0.2821730306669462
170,0.36930346824345117
171,0.30477344956961505
172,0.35134044147856247
173,0.35335094035881254
174,0.32480687597666136
175,0.299956036786661
176,0.3183612585514847
177,0.3720539964796399
178,0.3571738333424061
179,0.33409006870565455
180,0.390791136042748
181,0.365792490479216
182,0.35565441553448973
183,0.35037465516115157
184,0.37057517088678155
185,0.2713722323900215
186,0.3009356900608225
187,0.3884874384807889
188,0.3389287908054823
189,0.3048972617328181
190,0.3764717625210248
191,0.40356384764465025
192,0.33435417992117783
193,0.39393084297933295
194,0.31721837121999313
195,0.3305301851501977
196,0.36171507583606444
197,0.2962370768116654
198,0.315026938619283
199,0.26842867832020795
200,0.36538021363171774
201,0.2723770556418223
202,0.34484752909846245
203,0.32829368728300995
204,0.3725197827828515
205,0.34459078971277596
206,0.3601100355045784
207,0.32553453176062563
208,0.3555956841903286
209,0.30687325126800286
210,0.4050927123284929
211,0.4162477772536067
212,0.36825225252903626
213,0.28835219696359377
214,0.2858810463350108
215,0.34273942678898156
216,0.31319703968586426
217,0.3137602351446953
218,0.32754555292161885
219,0.35856452202867006
220,0.37657428004957444
221,0.31178686143426976
222,0.3062488542789732
223,0.400445409867054
224,0.3548980685334642
225,0.33992039171992405
226,0.38623627393579074
227,0.27721907723058314
228,0.3398362653592093
229,0.3030180637175361
230,0.41650234871827996
231,0.32415627940179087
232,0.3756081895541025
233,0.3475456221872545
234,0.28778870268839857
235,0.42503316483548215
236,0.31606800728461704
237,0.2717293522265598
238,0.3224334822921922
239,0.34243559686278624
240,0.3557744349528453
241,0.33779403342618486
242,0.2998259310654333
243,0.3210557638077299
244,0.34151851878212014
245,0.35284960767214796
246,0.2643752463078463
247,0.30566209668892064
248,0.3616243345043591
249,0.36912306606799317
