att1,att2,random,label
4.122581936092296,-1.894148149,-0.214400981,6
-1.818324981,-1.34092465,-1.686716017,3
3.5230339489550695,-2.41520566,1.2195297938959233,6
-2.729631671,-1.008135168,1.026900649345903,3
-6.354033887,-7.550431138,0.066076769,2
9.598148474279178,9.345589049342403,-0.95139145,1
3.4147149811074566,0.297117559,0.32883635081259766,5
9.812446847475973,8.853770027828062,-1.378400614,1
-9.19491484,4.545424486048452,1.2731426757648292,2
3.3216437261325633,-2.467123279,-0.483476683,6
-1.81879197,-0.286577876,1.506962899803841,3
-2.51626708,-2.679651198,0.5589159360149869,4
1.209514910099494,-0.916401542,0.645681844,5
-6.330794265,-8.093744565,-0.463747575,2
3.3665705322007704,-3.216350964,-0.355904595,6
-0.67736124,1.997066963212082,-0.159584706,3
9.371052227945944,8.359771563926184,-0.906485651,1
-2.120112878,-0.088053348,-0.257689594,3
-6.095511145,-9.528415355,0.002997904,2
9.834680625113041,8.467823301157548,2.1419082145787307,1
-8.763573299,8.629014471328542,1.1152442302023582,7
-2.177274013,-1.708810286,-0.128352924,4
-5.871719336,-8.186616506,-1.014298373,2
2.9650137858708723,2.430814980012477,-1.141326575,5
-2.697856759,0.9183086551496769,0.765927767,3
-7.16308479,4.640038968354991,0.4268617592723346,7
-8.295854264,4.931109467790631,-0.614913334,7
4.204825817,-1.124420033,1.6446760631106163,6
-6.013052202,-8.131548483,-1.404573829,2
-6.075241033,-8.995997098,-2.536272254,2
-8.346387323,5.7145979743375355,1.4418258595054172,7
-2.240796056,-2.856689307,-2.044675239,4
3.766303945,0.4162366812697327,-0.175325986,5
-6.472725168,-7.835008502,-0.789713038,2
-2.951428274,-2.108208202,-1.160664338,4
-2.066462994,0.9891269669825812,-0.192446009,3
9.224852262764571,9.317745366145134,0.5027419507115166,1
-6.031073453,-4.898362845,0.065306185,2
-2.11102895,2.2204894770865855,-1.35304716,3
3.6949741050739378,3.2048207693976107,-2.129400851,5
-6.501774352,-6.917552368,-0.106267282,2
-3.018065905,1.7647711792724765,0.4459413546267244,3
-3.072426434,-3.101837759,-0.483518102,4
-6.470577875,-5.877152022,0.20806550953864578,2
3.433608031101398,-4.33372568,-0.185855486,6
-0.912621637,-0.119733514,2.0055609784288153,3
-6.476434303,-7.574381848,-0.624170591,2
3.6760018631970275,-3.609218599,0.430871507,6
-6.264641995,-7.180922632,-0.241657595,2
-8.384324322,6.872852749158466,0.45181315215887663,7
